UT,AB
WOS:000612198000003,"Nearly 1,000 officer-involved killings occur each year in the United States. This article documents the large, racially disparate effects of these events on the educational and psychological well-being of Los Angeles public high school students. Exploiting hyperlocal variation in how close students live to a killing, I find that exposure to police violence leads to persistent decreases in GPA, increased incidence of emotional disturbance, and lower rates of high school completion and college enrollment. These effects are driven entirely by black and Hispanic students in response to police killings of other minorities and are largest for incidents involving unarmed individuals."
WOS:000593217300009,"Despite decades of research, the consistent estimation of structural forward-looking macroeconomic equations remains a formidable empirical challenge because of pervasive endogeneity issues. Prominent cases-the estimation of Phillips curves, Euler equations, or monetary policy rules-have typically relied on using predetermined variables as instruments, with mixed success. In this work, we propose a new approach that consists in using sequences of independently identified structural shocks as instrumental variables. Our approach is robust to weak instruments and is valid regardless of the shocks' variance contribution. We estimate a Phillips curve using monetary shocks as instruments and find that conventional methods substantially underestimate the slope of the Phillips curve."
WOS:000544017700002,"We study patterns of behavior in bilateral bargaining situations using a rich new data set describing back-and-forth sequential bargaining occurring in over 25 million listings from eBay's Best Offer platform. We compare observed behavior to predictions from the large theoretical bargaining literature. One-third of bargaining interactions end in immediate agreement, as predicted by complete-information models. The majority of sequences play out differently, ending in disagreement or delayed agreement, which have been rationalized by incomplete information models. We find that stronger bargaining power and better outside options improve agents' outcomes. Robust empirical findings that existing models cannot rationalize include reciprocal (and gradual) concession behavior and delayed disagreement. Another robust pattern at odds with existing theory is that players exhibit a preference for making and accepting offers that split the difference between the two most recent offers. These observations suggest that behavioral norms, which are neither incorporated nor explained by existing theories, play an important role in the success of bargaining outcomes."
WOS:000544015700009,"Using a randomized controlled trial, we study whether a negotiation skills training can improve girls' educational outcomes in a low-resource environment. We find that a negotiation training given to eighth-grade Zambian girls significantly improved educational outcomes over the next three years, and these effects did not fade out. To better understand mechanisms, we estimate the effects of two alternative treatments. Negotiation had much stronger effects than an informational treatment, which had no effect. A treatment designed to have more traditional girls' empowerment effects had directionally positive but insignificant educational effects. Relative to this treatment, negotiation increased enrollment in higher-quality schooling and had larger effects for high-ability girls. These findings are consistent with a model in which negotiation allows girls to resolve incomplete contracting problems with their parents, yielding increased educational investment for those who experience sufficiently high returns. We provide evidence for this channel through a lab-in-the-field game and follow-up survey with girls and their guardians."
WOS:000507362800009,"A widely held view is that openness to international trade leads to higher income volatility, as trade increases specialization and hence exposure to sector-specific shocks. Contrary to this common wisdom, we argue that when country-wide shocks are important, openness to international trade can lower income volatility by reducing exposure to domestic shocks and allowing countries to diversify the sources of demand and supply across countries. Using a quantitative model of trade, we assess the importance of the two mechanisms (sectoral specialization and cross-country diversification) and show that in recent decades international trade has reduced economic volatility for most countries."
WOS:000507362800005,"Many industries have become increasingly concentrated through mergers and acquisitions, which in health care may have important consequences for spending and outcomes. Using a rich panel of Medicare claims data for nearly one million dialysis patients, we advance the literature on the effects of mergers and acquisitions by studying the precise ways providers change their behavior following an acquisition. We base our empirical analysis on more than 1,200 acquisitions of independent dialysis facilities by large chains over a 12-year period and find that chains transfer several prominent strategies to the facilities they acquire. Most notably, acquired facilities converge to the behavior of their new parent companies by increasing patients' doses of highly reimbursed drugs, replacing high-skill nurses with less-skilled technicians, and waitlisting fewer patients for kidney transplants. We then show that patients fare worse as a result of these changes: outcomes such as hospitalizations and mortality deteriorate, with our long panel allowing us to identify these effects from within-facility or within-patient variation around the acquisitions. Because overall Medicare spending increases at acquired facilities, mostly as a result of higher drug reimbursements, this decline in quality corresponds to a decline in value for payers. We conclude the article by considering the channels through which acquisitions produce such large changes in provider behavior and outcomes, finding that increased market power cannot explain the decline in quality. Rather, the adoption of the acquiring firm's strategies and practices drives our main results, with greater economies of scale for drug purchasing responsible for more than half of the change in profits following an acquisition."
WOS:000489162800008,"We develop a framework for welfare analysis of interventions designed to increase take-up of social safety net programs in the presence of potential behavioral biases. We calibrate the key parameters using a randomized field experiment in which 30,000 elderly individuals not enrolled in-but likely eligible for-the Supplemental Nutrition Assistance Program (SNAP) are either provided with information that they are likely eligible, provided with this information and offered assistance in applying, or are in a ""status quo"" control group. Only 6% of the control group enrolls in SNAP over the next nine months, compared to 11% of the Information Only group and 18% of the Information Plus Assistance group. The individuals who apply or enroll in response to either intervention have higher net income and are less sick than the average enrollee in the control group. We present evidence consistent with the existence of optimization frictions that are greater for needier individuals, which suggests that the poor targeting properties of the interventions reduce their welfare benefits."
WOS:000489162100006,"The home-market effect, first hypothesized by Linder (1961) and later formalized by Krugman (1980), is the idea that countries with larger demand for some products at home tend to have larger sales of the same products abroad. In this article, we develop a simple test of the home-market effect using detailed drug sales data from the global pharmaceutical industry. The core of our empirical strategy is the observation that a country's exogenous demographic composition can be used as a predictor of the diseases that its inhabitants are most likely to die from and, in turn, the drugs they are most likely to demand. We find that the correlation between predicted home demand and sales abroad is positive and greater than the correlation between predicted home demand and purchases from abroad. In short, countries tend to be net sellers of the drugs they demand the most, as predicted by Linder (1961) and Krugman (1980)."
WOS:000489161300004,"Using data on over a million land transactions during 2004-2016 where local governments are the sole seller, we find that firms linked to members of China's supreme political elites-the Politburo-obtained a price discount ranging from 55.4% to 59.9% compared with those without the same connections. These firms also purchased slightly more land. In return, the provincial party secretaries who provided the discount to these ""princeling"" firms are 23.4% more likely to be promoted to positions of national leadership. To curb corruption, President Xi Jinping stepped up investigations and strengthened personnel control at the province level. Using a spatially matched sample (e.g., within a 500-meter radius), we find a reduction in corruption of between 42.6% and 31.5% in the provinces either targeted by the central inspection teams or whose party secretary was replaced by one appointed by Xi. Accordingly, this crackdown on corruption has also significantly reduced the promotional prospects of those local officials who rely on supplying a discount to get ahead. JEL Codes: D73, P26, H7, O17."
WOS:000451280400002,"We estimate the causal effect of each county in the United States on children's incomes in adulthood. We first estimate a fixed effects model that is identified by analyzing families who move across counties with children of different ages. We then use these fixed effect estimates to (i) quantify how much places matter for intergenerational mobility, (ii) construct forecasts of the causal effect of growing up in each county that can be used to guide families seeking to move to opportunity, and (iii) characterize which types of areas produce better outcomes. For children growing up in low-income families, each year of childhood exposure to a one standard deviation (std. dev.) better county increases income in adulthood by 0.5%. There is substantial variation in counties' causal effects even within metro areas. Counties with less concentrated poverty, less income inequality, better schools, a larger share of two-parent families, and lower crime rates tend to produce better outcomes for children in poor families. Boys' outcomes varymore across areas than girls' outcomes, and boys have especially negative outcomes in highly segregated areas. Areas that generate better outcomes have higher house prices on average, but our approach uncovers many ""opportunity bargains""-places that generate good outcomes but are not very expensive."
WOS:000406177000006,"We examine the health plan choices that 23,894 employees at a U.S. firm made from a large menu of options that differed only in financial cost-sharing and premium. These decisions provide a clear test of the predictions of the standard economic model of insurance choice in the absence of choice frictions because plans were priced so that nearly every plan with a lower deductible was financially dominated by an otherwise identical plan with a high deductible. We document that the majority of employees chose dominated plans, which resulted in excess spending equivalent to 24% of chosen plan premiums. Low-income employees were significantly more likely to choose dominated plans, and most employees did not switch into more financially efficient plans in the subsequent year. We show that the choice of dominated plans cannot be rationalized by standard risk preference or any expectations about health risk. Testing alternative explanations with a series of hypothetical-choice experiments, we find that the popularity of dominated plans was not primarily driven by the size and complexity of the plan menu, nor informed preferences for avoiding high deductibles, but by employees' lack of understanding of health insurance. Our findings challenge the standard practice of inferring risk preferences from insurance choices and raise doubts about the welfare benefits of health reforms that expand consumer choice."
WOS:000396771300003,"This article explores the effect of news shocks in open economies using worldwide giant oil and gas discoveries as a directly observable measure of news shocks about future output-the delay between a discovery and production is on average four to six years. We first analyze the effects of a discovery in a two-sector small open economymodel with a resource sector. We then estimate the effects of giant oil and gas discoveries on a large panel of countries. Our empirical estimates are consistent with the predictions of the model. After an oil or gas discovery, the current account and saving rate decline for the first five years and then rise sharply during the ensuing years. Investment rises robustly soon after the news arrives, whereas GDP does not increase until after five years. Employment rates fall slightly and remain low for a sustained period."
WOS:000365535400009,"I replicate and extend the seminal work of Camerer et al. (""Labor Supply of New York City Cabdrivers: One Day at a Time,'' Quarterly Journal of Economics, 112 [1997], 407-441), who find that the wage elasticity of daily hours of work for New York City taxi drivers is negative and conclude that their labor supply behavior is consistent with reference dependence. In contrast, my analysis of the complete record of all trips taken in NYC taxi cabs from 2009 to 2013 shows that drivers tend to respond positively to unanticipated as well as anticipated increases in earnings opportunities. Additionally, using a discrete choice stopping model, the probability of a shift ending is strongly positively related to hours worked but at best weakly related to income earned. I find substantial heterogeneity across drivers in their elasticities, but the estimated elasticities are generally positive and rarely substantially negative. I find that new drivers with smaller elasticities are more likely to exit the industry, whereas drivers who remain quickly learn to be better optimizers (have positive labor supply elasticities that grow with experience). These results are consistent with the neoclassical optimizing model of labor supply and suggest that consideration of gain-loss utility and income reference dependence is not an important factor in the daily labor supply decisions of taxi drivers."
WOS:000351525000005,"This article studies socially responsible behavior in markets. We develop a laboratory product market in which low-cost production creates a negative externality for third parties, but where alternative production with higher costs mitigates the externality. Our first study, conducted in Switzerland, reveals a persistent preference among many consumers and firms for avoiding negative social impact in the market, reflected both in the composition of product types and in a price premium for socially responsible products. Socially responsible behavior is generally robust to varying market characteristics, such as increased seller competition and limited consumer information, and it responds to prices in a manner consistent with a model in which positive social impact is a utility-enhancing feature of a consumer product. In a second study, we investigate whether market social responsibility varies across societies by comparing market behavior in Switzerland and China. While subjects in Switzerland and China do not differ in their degree of social concern in nonmarket contexts, we find that low-cost production that creates negative externalities is significantly more prevalent in markets in China. Across both studies, consumers in markets exhibit less social concern than subjects in a comparable individual choice context. JEL Codes: C92, D03, D62, M14."
WOS:000346660500003,"This article defines and analyzes a ""sparse max"" operator, which is a less than fully attentive and rational version of the traditional max operator. The agent builds (as economists do) a simplified model of the world which is sparse, considering only the variables of first-order importance. His stylized model and his resulting choices both derive from constrained optimization. Still, the sparse max remains tractable to compute. Moreover, the induced outcomes reflect basic psychological forces governing limited attention. The sparse max yields a behavioral version of basic chapters of the microeconomics textbook: consumer demand and competitive equilibrium. I obtain a behavioral version of Marshallian and Hicksian demand, Arrow-Debreu competitive equilibrium, the Slutsky matrix, the Edgeworth box, Roy's identity, and so on. The Slutsky matrix is no longer symmetric: nonsalient prices are associated with anomalously small demand elasticities. Because the consumer exhibits nominal illusion, in the Edgeworth box, the offer curve is a two-dimensional surface rather than a one-dimensional curve. As a result, different aggregate price levels correspond to materially distinct competitive equilibria, in a similar spirit to a Phillips curve. The Arrow-Debreu welfare theorems typically do not hold. This framework provides a way to assess which parts of basic microeconomics are robust, and which are not, to the assumption of perfect maximization."
WOS:000854284500001,"We demonstrate an important complementarity between patriotism and public-good provision. After 1933, the New Deal led to an unprecedented expansion of the U.S. federal government's role. Those who benefited from social spending were markedly more patriotic during World War II: they bought more war bonds, volunteered more, and, as soldiers, won more medals. This pattern was new-World War I volunteering did not show the same geography of patriotism. We match military service records with the 1940 census to show that this pattern holds at the individual level. Using geographical variation, we exploit two instruments to suggest that the effect is causal: droughts and congressional committee representation predict more New Deal agricultural support, as well as bond buying, volunteering, and medals."
WOS:000743312400012,"The seller of an asset has the option to buy hard information about the value of the asset from an intermediary. The seller can then disclose this information before selling the asset in a competitive market. We study how the intermediary designs and sells hard information to robustly maximize the intermediary's revenue across all equilibria. Even though the intermediary could use an accurate test that reveals the asset's value, we show that robust revenue maximization leads to a noisy test with a continuum of possible scores. In addition, the intermediary always charges the seller for disclosing the test score to the market, but not necessarily for running the test. This enables the intermediary to robustly appropriate a significant share of the surplus resulting from the asset sale."
WOS:000507362800006,"We study the role of gender in the evaluation of economic research using submissions to four leading journals. We find that referee gender has no effect on the relative assessment of female- versus male-authored papers, suggesting that any differential biases of male referees are negligible. To determine whether referees as a whole impose different standards for female authors, we compare citations for female- and male-authored papers, holding constant referee evaluations and other characteristics. We find that female-authored papers receive about 25% more citations than observably similar male-authored papers. Editors largely follow the referees, resulting in a 1.7 percentage point lower probability of a revise and re-submit verdict for papers with female authors relative to a citation-maximizing benchmark. In their desk rejection decisions, editors treat female authors more favorably, though they still impose a higher bar than would be implied by citation maximization. We find no differences in the informativeness of female versus male referees or in the weight that editors place on the recommendations of female versus male referees. We also find no differences in editorial delays for female- versus male-authored papers."
WOS:000489163400006,"We study inference in shift-share regression designs, such as when a regional outcome is regressed on a weighted average of sectoral shocks, using regional sector shares as weights. We conduct a placebo exercise in which we estimate the effect of a shift-share regressor constructed with randomly generated sectoral shocks on actual labor market outcomes across U.S. commuting zones. Tests based on commonly used standard errors with 5% nominal significance level reject the null of no effect in up to 55% of the placebo samples. We use a stylized economic model to show that this overrejection problem arises because regression residuals are correlated across regions with similar sectoral shares, independent of their geographic location. We derive novel inference methods that are valid under arbitrary cross-regional correlation in the regression residuals. We show using popular applications of shift-share designs that our methods may lead to substantially wider confidence intervals in practice."
WOS:000435871300008,"We show that World War I and the subsequent boycott against Central scientists severely interrupted international scientific cooperation. After 1914, citations to recent research from abroad decreased and paper titles became less similar (evaluated by latent semantic analysis), suggesting a reduction in international knowledge flows. Reduced international scientific cooperation led to a decline in the production of basic science and its application in new technology Specifically, we compare productivity changes for scientists who relied on frontier research from abroad, to changes for scientists who relied on frontier research from home. After 1914, scientists who relied on frontier research from abroad published fewer papers in top scientific journals, produced less Nobel Prize nominated research, introduced fewer novel scientific words, and introduced fewer novel words that appeared in the text of subsequent patent grants. The productivity of scientists who relied on top 1% research declined twice as much as the productivity of scientists who relied on top 3% research. Furthermore, highly prolific scientists experienced the starkest absolute productivity declines. This suggests that access to the very best research is key for scientific and technological progress."
WOS:000406177000001,"To reduce poverty and food insecurity in Africa requires raising productivity in agriculture. Systematic use of fertilizer and hybrid seed is a pathway to increased productivity, but adoption of these technologies remains low. We investigate whether the quality of agricultural inputs can help explain low take-up. Testing modern products purchased in local markets, we find that 30% of nutrient is missing in fertilizer, and hybrid maize seed is estimated to contain less than 50% authentic seeds. We document that such low quality results in low average returns. If authentic technologies replaced these low-quality products, however, average returns are high. To rationalize the findings, we calibrate a learning model using data from our agricultural trials. Because agricultural yields are noisy, farmers' ability to learn about quality is limited and this can help explain the low quality equilibrium we observe, but also why the market has not fully collapsed."
WOS:000380249200003,"There is growing evidence that firm-specific pay premiums are an important source of wage inequality. These premiums will contribute to the gender wage gap if women are less likely to work at high-paying firms or if women negotiate (or are offered) worse wage bargains with their employers than men. Using longitudinal data on the hourly wages of Portuguese workers matched with income statement information for firms, we show that the wages of both men and women contain firm-specific premiums that are strongly correlated with simple measures of the potential bargaining surplus at each firm. We then show how the impact of these firm-specific pay differentials on the gender wage gap can be decomposed into a combination of sorting and bargaining effects. We find that women are less likely to work at firms that pay higher premiums to either gender, with sorting effects being most important for low- and middle-skilled workers. We also find that women receive only 90% of the firm-specific pay premiums earned by men. Importantly, we find the same gender gap in the responses of wages to changes in potential surplus over time. Taken together, the combination of sorting and bargaining effects explain about one-fifth of the cross-sectional gender wage gap in Portugal."
WOS:000342236000005,"How do aggregate wealth-to-income ratios evolve in the long run and why? We address this question using 1970-2010 national balance sheets recently compiled in the top eight developed economies. For the United States, United Kingdom, Germany, and France, we are able to extend our analysis as far back as 1700. We find in every country a gradual rise' of wealth-income ratios in recent decades, from about 200-300% in 1970 to 400-600% in 2010. In effect, today's ratios appear to be returning to the high values observed in Europe in the eighteenth and nineteenth centuries (600-700%). This can be explained by a long-run asset price recovery (itself driven by changes in capital policies since the world wars) and by the slowdown of productivity and population growth, in line with the beta=s/g Harrod-Domar-Solow formula. That is, for a given net saving rate s = 10%, the long-run wealth-income ratio beta is about 300% if g = 3% and 600% if g = 1.5%. Our results have implications for capital taxation and regulation and shed new light on the changing nature of wealth, the shape of the production function, and the rise of capital shares."
WOS:000988606100001,"The world has 1.4 billion passenger vehicles. How should governments regulate their air pollution emissions? A Pigouvian tax is technologically infeasible. Most countries instead rely on exhaust standards that limit air pollution emissions per mile for new vehicles. We assess the effectiveness and efficiency of these standards, which are the centerpiece of U.S. Clean Air Act regulation of transportation, and counterfactual policies. We show that the air pollution emissions per mile of new U.S. vehicles has fallen spectacularly, by over 99%, since standards began in 1967. Several research designs with a half century of data suggest that exhaust standards have caused most of this decline. Yet exhaust standards are not cost-effective in part because they fail to encourage scrap of older vehicles, which account for the majority of emissions. To study counterfactual policies, we develop an analytical and a quantitative model of the vehicle fleet. Analysis of these models suggests that tighter exhaust standards increase social welfare and increasing registration fees on dirty vehicles yields even larger gains by accelerating scrap, although both reforms have complex effects on inequality."
WOS:000803708500001,"Many school districts with centralized school choice adopt strategy-proof assignment mechanisms to relieve applicants from needing to strategize based on beliefs about their own admissions chances. This article shows that beliefs about admissions chances shape choice outcomes even when the assignment mechanism is strategy-proof by influencing how applicants search for schools and that ""smart matching platforms"" that provide live feedback on admissions chances help applicants search more effectively. Motivated by a model in which applicants engage in costly search for schools and overoptimism can lead to undersearch, we use data from a large-scale survey of choice participants in Chile to show that learning about schools is hard, beliefs about admissions chances guide the decision to stop searching, and applicants systematically underestimate nonplacement risk. We use RCT and RD research designs to evaluate scaled live feedback policies in the Chilean and New Haven choice systems. Twenty-two percent of applicants submitting applications where risks of nonplacement are high respond to warnings by adding schools to their lists, reducing nonplacement risk by 58% and increasing test score value added at the schools where they enroll by 0.10 standard deviations. Reducing the burden of school choice requires not just strategy-proofness inside the centralized system but also choice supports for the strategic decisions that inevitably remain outside of it."
WOS:000785751900001,"This article studies external sovereign bonds as an asset class. We compile a new database of 266,000 monthly prices of foreign-currency government bonds traded in London and New York between 1815 (the Battle of Waterloo) and 2016, covering up to 91 countries. Our main insight is that, as in equity markets, the returns on external sovereign bonds have been sufficiently high to compensate for risk. Real ex post returns average more than 6% annually across two centuries, including default episodes, major wars, and global crises. This represents an excess return of 3%-4% above US or UK government bonds, which is comparable to stocks and outperforms corporate bonds. Central to this finding are the high average coupons offered on external sovereign bonds. The observed returns are hard to reconcile with canonical theoretical models and the degree of credit risk in this market, as measured by historical default and recovery rates. Based on our archive of more than 300 sovereign debt restructurings since 1815, we show that full repudiation is rare; the median creditor loss (haircut) is below 50%."
WOS:000770118700001,"We document two robust features of the cross-sectional distribution of usual weekly hours and hourly wages. First, usual weekly hours are heavily concentrated around 40 hours, while at the same time a substantial share of total hours come from individuals who work more than 50 hours. Second, mean hourly wages are nonmonotonic across the usual hours distribution, with a peak at 50 hours. We develop and estimate a model of labor supply to account for these features. The novel feature of our model is that earnings are nonlinear in hours, with the extent of nonlinearity varying over the hours distribution. Our estimates imply significant wage penalties for people who deviate from 40 hours in either direction, leading to a large mass of people who work 40 hours and are not very responsive to shocks. This has important implications for the role of labor supply as a mechanism for self-insurance in a standard heterogeneous-agent incomplete-markets model and for empirical strategies designed to estimate labor supply parameters."
WOS:000743312400003,"Proposition 209 banned race-based affirmative action at California public universities in 1998. Using a difference-in-differences research design and a newly constructed longitudinal database linking all 1994-2002 University of California applicants to their educational experiences and wages, I show that ending affirmative action caused underrepresented minority (URM) freshman applicants to cascade into lower-quality colleges. The ""mismatch hypothesis"" implies that this cascade would provide net educational benefits to URM applicants, but their degree attainment declined overall and in STEM fields, especially among less academically qualified applicants. URM applicants' average wages in their twenties and thirties subsequently declined, driven by declines among Hispanic applicants. These declines are not explained by URM students' performance or persistence in STEM course sequences, which were unchanged after Prop 209. Ending affirmative action also deterred thousands of qualified URM students from applying to any UC campus. Complementary regression discontinuity and institutional value-added analyses suggest that affirmative action's net educational and wage benefits for URM applicants exceed its net costs for on-the-margin white and Asian applicants."
WOS:000672777600003,"In October 2010, the state government of Andhra Pradesh, India, issued an emergency ordinance, bringing microfinance activities in the state to a complete halt and causing a nationwide shock to the liquidity of lenders, especially those with loans in the affected state. We use this massive dislocation in the microfinance market to identify the causal impacts of a reduction in credit supply on consumption, earnings, and employment in general equilibrium in rural labor markets. Using a proprietary district-level data set from 25 separate, for-profit microlenders matched with household data from the National Sample Survey, we find that district-level reductions in credit supply are associated with significant decreases in casual daily wages, household wage earnings, and consumption. We find a substantial consumption multiplier from credit that is likely driven by two channels-aggregate demand and business investment. We calibrate a simple two-period, two-sector model of the rural economy that incorporates both channels and show that the magnitude of our wage results is consistent with the model's predictions."
WOS:000672777600012,"Governments go to great lengths to attract foreign multinationals because they are thought to raise the wages paid to their employees (direct effects) and to improve outcomes at local domestic firms (indirect effects). We construct the first U.S. employer-employee data set with foreign ownership information from tax records to measure these direct and indirect effects. We find the average direct effect of a foreign multinational firm on its U.S. workers is a 7% increase in wages. This premium is larger for higher-skilled workers and for the employees of firms from high GDP per capita countries. We find evidence that it is membership in a multinational production network-instead of foreignness-that generates the foreign-firm premium. We leverage the past spatial clustering of foreign-owned firms by country of ownership to identify the indirect effects. An expansion in the foreign-multinational share of commuting-zone employment substantially increases the employment, value added, and-for higher-earning workers-wages at local domestic-owned firms. Per job created by a foreign multinational, our estimates suggest annual gains of US$13,400 to the aggregate wages of local incumbents, two-thirds of which are from indirect effects. Our estimates suggest that-via mega-deals for subsidies from local governments-foreign multinationals are able to extract a sizable fraction of the local surplus they generate."
WOS:000672777600001,"U.S. income inequality has varied inversely with union density over the past 100 years. But moving beyond this aggregate relationship has proven difficult, in part because of limited microdata on union membership prior to 1973. We develop a new source of microdata on union membership dating back to 1936, survey data primarily from Gallup (N approximate to 980,000), to examine the long-run relationship between unions and inequality. We document dramatic changes in the demographics of union members: when density was at its mid-century peak, union households were much less educated and more nonwhite than other households, whereas pre-World War II and today they are more similar to nonunion households on these dimensions. However, despite large changes in composition and density since 1936, the household union premium holds relatively steady between 10 and 20 log points. We use our data to examine the effect of unions on income inequality. Using distributional decompositions, time series regressions, state-year regressions, as well as a new instrumental-variable strategy based on the 1935 legalization of unions and the World War II-era War Labor Board, we find consistent evidence that unions reduce inequality, explaining a significant share of the dramatic fall in inequality between the mid-1930s and late 1940s."
WOS:000642334600006,"When a Bayesian learns new information and changes her beliefs, she must on average become concomitantly more certain about the state of the world. Consequently, it is rare for a Bayesian to frequently shift beliefs substantially while remaining relatively uncertain, or, conversely, become very confident with relatively little belief movement. We formalize this intuition by developing specific measures of movement and uncertainty reduction given a Bayesian's changing beliefs over time, showing that these measures are equal in expectation and creating consequent statistical tests for Bayesianess. We then show connections between these two core concepts and four common psychological biases, suggesting that the test might be particularly good at detecting these biases. We provide support for this conclusion by simulating the performance of our test and other martingale tests. Finally, we apply our test to data sets of individual, algorithmic, and market beliefs."
WOS:000593217300003,"Nonemployment is often posited as a worker's outside option in wage setting models such as bargaining and wage posting. The value of nonemployment is therefore a key determinant of wages. We measure the wage effect of changes in the value of nonemployment among initially employed workers. Our quasi-experimental variation in the value of nonemployment arises from four large reforms of unemployment insurance (UI) benefit levels in Austria. We document that wages are insensitive to UI benefit changes: point estimates imply a wage response of less than $0.01 per $1.00 UI benefit increase, and we can reject sensitivities larger than $0.03. The insensitivity holds even among workers with low wages and high predicted unemployment duration, and among job switchers hired out of unemployment. The insensitivity of wages to the nonemployment value presents a puzzle to the widely used Nash bargaining model, which predicts a sensitivity of $0.24-$0.48. Our evidence supports wage-setting models that insulate wages from the value of nonemployment."
WOS:000489162800001,"We show that grit, a skill that has been shown to be highly predictive of achievement, is malleable in childhood and can be fostered in the classroom environment. We evaluate a randomized educational intervention implemented in two independent elementary school samples. Outcomes are measured via a novel incentivized real-effort task and performance in standardized tests. We find that treated students are more likely to exert effort to accumulate task-specific ability and hence more likely to succeed. In a follow up 2.5 years after the intervention, we estimate an effect of about 0.2 standard deviations on a standardized math test."
WOS:000423802600004,"Ban the Box (BTB) policies restrict employers from asking about applicants' criminal histories on job applications and are often presented as a means of reducing unemployment among black men, who disproportionately have criminal records. However, withholding information about criminal records could risk encouraging racial discrimination: employers may make assumptions about criminality based on the applicant's race. To investigate BTB's effects, we sent approximately 15,000 online job applications on behalf of fictitious young, male applicants to employers in New Jersey and New York City before and after the adoption of BTB policies. These applications varied whether the applicant had a distinctly black or distinctly white name and the felony conviction status of the applicant. We confirm that criminal records are a major barrier to employment: employers that asked about criminal records were 63% more likely to call applicants with no record. However, our results support the concern that BTB policies encourage racial discrimination: the black-white gap in callbacks grew dramatically at companies that removed the box after the policy went into effect. Before BTB, white applicants to employers with the box received 7% more callbacks than similar black applicants, but BTB increased this gap to 43%. We believe that the best interpretation of these results is that employers are relying on exaggerated impressions of real-world racial differences in felony conviction rates."
WOS:000423802600001,"In the centuries leading up to the Industrial Revolution, Western Europe gradually pulled ahead of other world regions in terms of technological creativity, population growth, and income per capita. We argue that superior institutions for the creation and dissemination of productive knowledge help explain the European advantage. We build a model of technological progress in a preindustrial economy that emphasizes the person-to-person transmission of tacit knowledge. The young learn as apprentices from the old. Institutions such as the family, the clan, the guild, and the market organize who learns from whom. We argue that medieval European institutions such as guilds, and specific features such as journeymanship, can explain the rise of Europe relative to regions that relied on the transmission of knowledge within closed kinship systems (extended families or clans)."
WOS:000423802600005,"Can machine learning improve human decision making? Bail decisions provide a good test case. Millions of times each year, judges make jail-or-release decisions that hinge on a prediction of what a defendant would do if released. The concreteness of the prediction task combined with the volume of data available makes this a promising machine-learning application. Yet comparing the algorithm to judges proves complicated. First, the available data are generated by prior judge decisions. We only observe crime outcomes for released defendants, not for those judges detained. This makes it hard to evaluate counterfactual decision rules based on algorithmic predictions. Second, judges may have a broader set of preferences than the variable the algorithm predicts; for instance, judges may care specifically about violent crimes or about racial inequities. We deal with these problems using different econometric strategies, such as quasi-random assignment of cases to judges. Even accounting for these concerns, our results suggest potentially large welfare gains: one policy simulation shows crime reductions up to 24.7% with no change in jailing rates, or jailing rate reductions up to 41.9% with no increase in crime rates. Moreover, all categories of crime, including violent crimes, show reductions; these gains can be achieved while simultaneously reducing racial disparities. These results suggest that while machine learning can be valuable, realizing this value requires integrating these tools into an economic framework: being clear about the link between predictions and decisions; specifying the scope of payoff functions; and constructing unbiased decision counterfactuals."
WOS:000396771300009,"By exploiting a commuting policy that led to a sharp and unexpected inflow of Czech workers to areas along the German-Czech border, we examine the impact of an exogenous immigration-induced labor supply shock on local wages and employment of natives. On average, the supply shock leads to a moderate decline in local native wages and a sharp decline in local native employment. These average effects mask considerable heterogeneity across groups: while younger natives experience larger wage effects, employment responses are particularly pronounced for older natives. This pattern is inconsistent with standardmodels of immigration but can be accounted for by a model that allows for a larger labor supply elasticity or a higher degree of wage rigidity for older than for young workers. We further show that the employment response is almost entirely driven by diminished inflows of natives into work rather than outflows into other areas or nonemployment, suggesting that ""outsiders"" shield ""insiders"" from the increased competition."
WOS:000396771300008,"I derive a lower bound on the equity premium in terms of a volatility index, SVIX, that can be calculated from index option prices. The bound implies that the equity premium is extremely volatile and that it rose above 20% at the height of the crisis in 2008. The time-series average of the lower bound is about 5%, suggesting that the bound may be approximately tight. I run predictive regressions and find that this hypothesis is not rejected by the data, so I use the SVIX index as a proxy for the equity premium and argue that the high equity premia available at times of stress largely reflect high expected returns over the very short run. I also provide a measure of the probability of a market crash, and introduce simple variance swaps, tradable contracts based on SVIX that are robust alternatives to variance swaps."
